Company_Name,Overall_Rating,Work_Life_Balance,Mentorship_Rating,Learning_Experience,Total_Reviews
EXplora InfoTech Limited,3.6,4.1,2.5,2.1,743
EY India,4.1,3.6,4.3,4.1,231
EZCommerce (India) Limited,4.1,5,4,4.6,465
FCS Software Solutions Ltd,4.1,3.9,2.9,3.8,197
Fil - Flan Systems,3.8,3.6,3.8,5,736
Financial Technologies (India) Ltd.,4.5,3.4,3.2,4.8,31
FireEye,3.9,3,3.5,3.9,469
First Ring I Pvt. Ltd.,4.7,1.7,4.7,4.4,57
Firstware Software Solutions,2.6,2,4,4.7,934
Flipkart,3.8,3,4.1,5,472
Ford Business Service,2.4,3,4,4.4,384
Forensic Analytics,3.7,3,3.3,3.7,463
Forensic Consulting,3.6,2.7,3.4,3.9,104
Forensic Data,3.5,2.9,4.3,3.9,313
Forensic Defense,5,5,4.8,4.9,302
Forensic Dynamics,4.4,5,4.6,4.8,278
Forensic Group,3.6,2.4,4.4,3.4,73
Forensic Inc,4.1,4.5,4.2,4.8,655
Forensic Labs,3,3.4,3.3,3.2,634
Forensic Networks,3.2,2,3.5,3.5,708
Forensic Security,2.4,2,2.6,2.9,736
Forensic Technologies,4,4.1,3.7,4.6,479
Fortinet,2.9,2.8,3.4,2.5,578
Freemarkets Services (P) Ltd,3.2,3.6,3.8,3.1,681
Freshworks Technologies,3.5,2.7,3.2,2.1,57
Friendly Advanced Software Technology (P) Ltd.,5,2.7,3.5,3.2,708
Frontlinesoft Ltd.,4.3,4.8,3.9,3.8,374
Future AI Networks,4,3.9,3.8,4.3,201
Future Analytics,3.7,2.9,3.6,3.5,792
Future Cloud Group,3.1,3.8,2.7,3.4,109
Future Com Networks,3.7,3.7,4,3.6,133
Future Cyber Group,4,3.6,3.6,4.4,11
Future Cyber Innovations,3.4,3.1,3.4,3.5,131
Future Data,3.1,2.8,2.6,2.9,848
Future Data Innovations,4.2,4.6,4.8,4.4,465
Future Dynamics,4.2,4.3,4.4,4.4,857
Future Focus Infotech Pvt. Ltd,5,4.2,5,3.9,118
Future Group,3.8,4.4,4,4.2,797
Future Inc,3.7,3.2,3.8,3.4,787
Future Innovations,3.5,2.7,3.4,3.2,850
Future Labs,2.8,2.5,3.4,3.1,989
Future Link Solutions,2.6,3.5,1.8,3.5,290
Future Networks,3.7,3.7,3.7,3.7,576
Future Security,3.4,4.4,2.7,3.5,105
Future Software,3.5,3.3,3.3,3.1,722
Future Software Limited,3.7,4.6,4.4,4.4,729
Future Solutions,2.9,2.4,3.7,3,757
Future Solutions Ventures,3.1,3.2,3.3,3.9,325
Future Space Innovations,4,4.6,4.9,3.6,342
Future Space Solutions,3.6,4,3.8,3.6,125
Future Systems,4.7,4.2,4.8,4.5,4775
Future Tech,2.9,3,2.7,3.2,70
Future Tech Solutions,3.5,3,3.9,3.9,443
Future Technologies,4.4,3.9,3.9,4,715
G M Infotech & Systems Pvt Ltd,3.5,4.7,3.8,3.1,685
Gamma Software Systems Pvt Ltd,2.3,5,2.6,3.4,655
Ganga Com Solutions,3.2,3.1,2.4,3.4,31
Ganga Consulting Systems,3.7,4.5,4.1,4,50
Ganga Cyber Solutions,4.6,5,4.5,5,262
Ganga Data Innovations,3.4,4.2,3.5,3.3,467
Ganga Data Ventures,3.4,3.1,4.5,3.1,69
Ganga Labs Innovations,4.1,4.9,4.4,5,280
Ganga Services Enterprises,4,4.2,4.1,4.5,66
Ganga Soft Pvt Ltd,3.6,2.7,3.5,3.5,277
Ganga Solutions Ventures,2.7,2.8,2.3,3,333
Ganga Web Solutions,3.8,4.4,4,3.6,226
Gate2Biz Pvt Ltd,3.4,5,4.8,4.2,179
GATI Intellect Systems Ltd,3.3,2.4,3.8,5,104
Gavs Information Service Pvt. Ltd.,3.5,4.6,3.1,4.5,669
GE Capital Services India,5,3.8,3.2,3.6,949
Geine Technologies India Pvt Ltd,4.8,3.2,3.2,4.5,100
Genesis Infotech Solutions Pvt. Ltd.,3.9,3,4.6,4.2,805
Genisys Integrating Systems (I) Pvt. Ltd.,4.2,3.8,5,3.1,380
Genpact India,3.9,5,4.4,3.5,338
Geodesic Information Systems Ltd.,3.4,3.5,2.9,4.2,278
Geometric Software Solutions Company Ltd.,4.1,4.4,3.7,4.1,435
Global Automation India (P) Ltd,4.1,5,3,4.5,77
Global Business Technology Services Pvt Ltd,5,3.7,4,3.8,469
Global Corp,2.8,3.2,2.5,2.7,887
Global Defense,3.2,2,2.8,4,797
Global Dialnet Limited,4.7,3.4,4.4,3.6,428
Global Groupware Solutions,3.6,4.4,3.7,4.1,442
Global Infosystems Ltd,4.9,3.9,3.9,3.1,889
Global IT Services Ltd.,3.5,3.8,2.1,4,409
Global Networks,4.3,4.3,4.9,4.7,136
Global Security,4.2,4.6,4.3,4.1,176
Global Software,3.9,3.5,4.5,3.6,262
Global Software (I) Pvt Ltd,3.5,3.2,2.9,3.9,470
Global Solutions,3.7,3.4,3.8,3.5,284
Global Tech,4.4,4.4,4,4.8,692
Global Tech India Pvt. Ltd.,3.5,3.8,3.1,2.2,38
Global Technologies,3.7,3.2,4.1,4.2,483
Globalsoft Pvt. Ltd.,3.4,4.7,2.3,5,393
Globsyn Technologies Ltd.,3.9,4.5,2.5,3.7,284
Godrej Infotech Ltd,4.2,4.2,4.7,3.4,59
Goenka Infotech Limited,4.1,2.7,5,5,139
Goldstone Technologies Ltd,3.7,2,4.3,5,281
Google,3.4,4.5,2.7,3.1,85
GrapeCity India Pvt. Ltd.,3.5,3.2,5,4.2,33
Growth Compusoft Exports Ltd.,3.8,3.3,4.4,4.5,748
GTL Limited,3.7,4.8,3,4.6,350
Gujarat Informatics Limited,4.3,4.1,4.5,4,239
Gujarat Narmada Valley Fertilizer Company,3.4,3.5,4.5,4.6,17
Gujarat Venture Finance Ltd.,3.7,3.1,4,3.7,483
Gulf Computers Private Limited,4.1,5,3.4,3.7,178
Hamilton Research & Technology Pvt. Ltd.,4,2.7,3.4,3.9,186
Hays Document Management Pvt. Ltd.,3.5,3.4,4.4,3.9,144
HCC Infotech Ltd,4.2,3.6,3.4,4.5,225
HCL,3.4,3.4,2.6,3.5,407
HCL E Serve Technologies Ltd,3.6,3.5,2.7,3.6,372
HCL Infosystems Ltd,2.6,3,2.9,4.5,134
HCL Perot Systems Pvt Ltd,3.3,3.5,4.1,5,368
HCL Technologies Ltd,4.6,3.2,3.8,4.9,109
HCLTech,3.3,5,4.4,3.3,230
Healthscribe India Limited,2.8,2.9,3,3.7,338
Hero Corporate Services Ltd,4.3,4.1,4,4.8,75
Heuristix Systems Pvt Ltd,3.4,4.1,3.5,3.3,367
Hewlett-Packard (India) Software Operations Pvt Ltd,2.6,4.5,2.5,5,11
Hexaware Technologies,4.4,4.4,2.9,4.4,808
Hexaware Technologies Limited,2.8,3.8,4.5,5,654
Himalaya AI Pvt Ltd,4.3,3.4,4.4,4.7,353
Himalaya Labs Solutions,3.9,3.7,4.7,3.8,181
Himalaya Soft Analytics,4.8,5,4.9,5,476
Himalaya Space Group,5,5,4.3,4.8,470
Himalaya Space Ventures,3.1,3.4,2.9,3.7,65
Himalaya Sys Pvt Ltd,3.7,3.1,2.8,4,301
Himalaya Sys Ventures,4.6,4.3,4.6,5,437
Hinduja TMT Ltd,3.1,3.6,3.9,4.1,934
Hiperworld Cybertech Ltd,3.1,3.9,4.7,4.2,809
"Hi-Tech Compucare, Tripura",4.6,4,3.8,4.4,150
HMA STARware Ltd,4.1,4.3,2.9,3.4,197
Holool E-Business Pvt Ltd,3.1,4.1,4,4.3,180
Honeywell India Software Operations Pvt. Ltd.,4.7,4.4,3,3.2,529
HOPE Technologies Ltd.,3.8,3.7,3.7,2.6,668
House of Code (India) Pvt. Ltd.,3.5,3,4.2,4.4,440
Houston Technologies Ltd,4.3,4.8,2.9,2.1,385
HP,3.8,4.4,3.7,3.7,757
HSBC Electronic Data,2.5,5,3.4,3.1,187
HTC Software Development Centre,3.2,3.8,2.9,3.8,214
Huawei Technologies India Pvt Ltd,3.5,2.5,3.3,2.5,440
Hughes Software Systems Ltd,3.2,2.1,4.3,3.3,412
Human Base India Inc.,3.5,3.9,2.3,3.6,353
Hurix Systems Pvt. Ltd.,4.4,4.7,4.8,2.6,970
i2 Technologies India Pvt. Ltd.,4.3,2,3.2,2.8,293
IBILT Technologies Ltd,4.2,4.1,4.6,5,104
IBM,4.1,4,3.6,3.9,597
IBM Global Services IndiaPvt. Ltd.,2.8,1.9,4,3.4,703
IBM India Private Limited,3.3,3.6,4.5,3.7,400
"IBS Software Services (P) Ltd, Trivandrum",3.5,4.7,3.9,4,121
iCelerate Technologies Private Limited,2.7,1.7,4.6,3.6,225
ICICI Infotech Services Ltd.,3.5,5,4.9,3.4,857
ICICI OneSource Limited,3.6,3.2,4.8,3.8,315
Icon Data Management Ltd,4.4,4.4,2.9,4.2,302
iCope Technologies Private Limited,3.5,4,5,5,682
IDBI Intech Ltd Navi,3.7,5,4.7,4.8,68
Ideaspace Solutions Ltd,2.9,3.4,4.4,4.8,420
IDS Infotech Limited,3.5,3.8,3.9,3.8,114
i-flex solutions ltd.,3.5,3.3,3.7,4.5,175
IICE Technologies Ltd,4.3,3.8,3.5,3.9,160
IIS Scientific Computing Ltd,3.7,3.4,3.9,4.4,428
I-Labs Ltd,3.7,2.2,3.6,4.4,289
ILI Technologies Ltd,3.4,4.6,3.7,3.6,390
Impetus Infotech (I) Pvt. Ltd.,4.2,1.7,3.5,4.5,198
"InApp Information Technologies (I) Pvt Ltd, Trivandrum",3.7,5,4.3,5,431
iNautix Technologies India Pvt Ltd,3.2,3.9,4.5,4.3,319
Indchem Software Technologies Ltd,5,3.9,4.3,4.5,262
India Education Centre Softwares Limited,2.9,3,4.7,4.6,797
India Software Group – ISG,4.4,2.2,2.6,4.3,777
Indiafindit.com,4.4,5,4.9,3.9,106
Indian Direct Equity Advisors Pvt Ltd,3.4,2.8,3.8,3.2,553
Indo AI Solutions,4.4,4.6,4.1,5,272
Indo Cloud Enterprises,4,3.8,4.2,4,5454
Indo Consulting Labs,4.7,5,5,5,383
Indo Cyber Analytics,3.8,3.4,4.2,4.2,168
Indo Cyber Group,4.4,4.2,4.2,4.5,380
Indo Labs Ventures,2.7,2.1,3.8,3.1,327
Indo Net Labs,3.8,4.1,2.9,3.9,200
Indo Soft Systems,3.7,4.2,4.5,3.7,409
Indo Space Limited,3.4,3.4,2.8,3.7,265
Indo Web Solutions,3,2.5,3,3.6,58
Indo-Japan Trade Centre Pvt. Ltd,2.6,2.4,3.1,3.8,89
Indo-Pacific Software & Entertainment Ltd,5,3.8,3.1,4.6,188
Indorama Software Solutions Limited,2.2,3,4.9,4.6,26
Indus Asuka Software Pvt. Ltd.,3.4,2.1,3.8,4,460
Indus Business Systems Ltd.,3.5,2.7,4.1,3.2,144
Indus Software Pvt. Ltd.,3,2.9,3.2,4.6,495
Induswork Technologies Pvt. Ltd.,4.1,2.6,1.1,3.8,342
Infinite Computer Solutions (India) Pvt. Ltd.,4,3.9,2.9,4,889
Info Dimensions Business Enterprise Pvt Ltd,3.3,2.4,4,4,826
Info Tech Coropration of Goa Ltd,5,4.9,3.1,5,262
Infoedge Solutions Pvt. Ltd,4.2,3.1,3.1,4.4,152
Infogain India (P) Ltd.,5,3.2,4.5,4.1,206
Infolog Solutions (P) Ltd,4.2,5,4.4,4.2,66
Information Technologies (India) Limited,4.1,4.2,3.9,3.8,457
Information Technology Park Ltd.,3.8,3.9,5,4.5,888
Infosys,3.1,4,2.9,4.2,415
Infosys Limited,2.2,4.3,4.7,4.4,947
Infosys Technologies Ltd.,4.1,3,4.7,4.5,518
Infotech Enterprises Ltd.,4,3,4.7,4.9,175
Infotech Financials Pvt Ltd,4.6,5,4.7,2.8,172
Infotek Software & Systems Pvt Ltd,3.1,2.3,3.8,5,72
Infovision Software Pvt. Ltd.,5,2.9,3.7,3.1,615
Infowavz International Pvt. Ltd.,4.4,4.3,5,4.1,464
Infozech Software (P) Ltd.,3.5,3.8,4.8,3.6,588
InfraSoft Technologies Limited,4.1,4.1,3.3,3.6,745
Ingram Micro India,4.6,3,3.9,3.1,404
Innovate Analytics,3.8,3.8,3.5,3.7,370
Innovate Data,3.6,3.8,3.9,3.4,252
Innovate Group,4.3,3.7,4.3,4.6,302
Innovate Inc,4.3,5,4.9,5,565
Innovate Innovations,2.5,2.8,3.4,2.8,95
Innovate Labs,4.1,3,4.6,3.7,466
Innovate Solutions,3.9,4.2,4.2,3.8,894
Innovate Systems,2.9,2.9,2.9,3.1,875
Innovate Tech,4.7,4.8,5,5,293
Inox Global Services Ltd,4.6,2.1,3.1,4.7,348
Insoft.com Pvt Ltd,3.6,2.4,4.2,4.3,619
Inspira Technologies Pvt. Ltd.,3.3,3.6,4.8,4,200
Institute of Chartered,5,5,3.3,3,247
Intec Interface GM Pvt Ltd,4.6,3.6,2.5,2.8,302
Integra Micro Systems (P) Ltd,4.8,4.7,3.8,4.4,114
"Integra Software Services Private Limited, Pondicherry",4.6,4.4,3.4,3.7,902
"Integrated Computing Environments Ltd., Trivandrum",4.3,5,3.4,4.9,547
Intel,4.3,3.8,4.8,4.2,386
Intel Asia Electronics Inc.,3.1,3,4.3,5,557
Intellicon Pvt Ltd,4.1,5,3.2,2.6,302
Intelligent Information Systems Pvt Ltd,3,3.3,4.8,3.1,992
Intelligroup Asia Pvt. Ltd.,3.5,3.4,4,3.5,970
Intelsys Software & Consultants Pvt. Ltd.,2.8,4.1,5,4.1,109
InteQ Software Limited,4.1,4.9,2.9,3.7,361
Interglobe Technologies Pvt Ltd,2.9,4.5,2.7,3.7,31
Intergraph Consulting Private Limited,3.7,4.7,2.5,3.6,445
Intermedia Interactive Solutions Ltd,3.8,2.7,4.2,3.6,75
Internet Trends (India) Pvt Ltd,3.3,2.7,1.6,2.6,358
Interra Software (India) Pvt. Ltd.,4.3,4.1,4.2,4.3,746
Intertech Resources Ltd,3.8,5,3.9,3.9,142
Inter-Tech Systems Pvt. Ltd.,2.7,4,3.8,4.3,346
Intiqua India Limited,3.7,5,3.1,2.6,733
Intrasoft Technologies Pvt. Ltd.,3.7,3.3,2.6,4.4,446
Investment Research & Information Services Ltd,3.8,3.6,2.7,3.4,399
IOL Technologies Pvt Ltd,4.5,5,4.9,5,982
IonIdea Enterprise Solutions Pvt Ltd,3.2,4.4,3.5,3.5,686
IonIdea Interactive Private Limited,3.4,5,4.1,3.4,278
iS3C Consultancy Services Ltd.,4,4.2,3.4,4.6,374
iSeva Systems Pvt Ltd,3.5,4.8,2.4,3.6,432
IT Microsystems (India) Ltd,4.1,3.2,4.5,4.5,415
IT Solutions (India) Pvt. Ltd.,2.9,2.8,4,4.3,206
IT&T Limited,5,3.2,4.2,2.9,225
ITC Infotech India Ltd,4.9,4.1,3.7,4,306
iTouchPoint Technologies Private Limited,4.8,4.3,3.4,2.3,686
ITTI Limited,5,5,3.7,4.5,797
Ivega Corporation,3.8,4,3.5,3.6,344
"IVL India Pvt. Ltd., Trivandrum",2.7,3.8,4.8,2.7,343
IVUS Software Development Centre Pvt. Ltd.,4.3,4.5,5,4,466
Jal Com Analytics,4.1,3.6,4.4,3.9,225
Jal Hub Group,2.8,2.7,2.5,3,225
Jal Hub Labs,3.2,2.9,3.2,3.6,47
Jal Labs Ventures,4.8,5,5,5,160
Jal Net Systems,3.9,3.1,4.7,4.6,499
Jal Services Technologies,5,4.7,4.7,5,440
Jal Tech Ventures,3.3,3.2,2.8,3.4,57
Jal Web Group,3.2,3.9,3.9,3.3,338
Jal Web Pvt Ltd,4,4.1,4,3.7,455
Jay Instruments & Systems Pvt Ltd,3.2,2.7,4.9,4.7,359
JK Technosoft Ltd,4.5,3.5,4.9,2.6,755
Jopasana Software & Systems Pvt Ltd,3.5,4.5,4.9,4.3,966
JP Mobile (India) Limited,4,4.1,3.5,5,146
JP Morgan Services India Pvt. Ltd.,3.6,3.3,3.5,5,513
Juno Online Services Development Pvt. Ltd.,2.6,3.8,4,3.2,306
Juspay,4.4,2.6,4,5,547
Kala Info Solutions,3,3.2,3.2,3.2,118
Kala Sec Networks,2.3,1.9,2,2.6,79
Kala Sec Technologies,4.6,5,4.7,5,368
Kala Services Enterprises,5,5,4.7,4.8,482
Kala Solutions Labs,3.8,3.9,3.6,4.3,150
Kala Sys Systems,4.6,4.8,4.9,5,499
Kala Tech Innovations,2,1.1,2.4,2.2,179
Kale Consultants Pvt. Ltd.,4.1,4,4.5,2,151
Kals Information Systems Ltd,3.5,3,3.8,4.2,132
Kanbay Software (India) Pvt. Ltd.,3.7,5,2.9,5,886
"Kaneriya Technologies Limited, Valsad",3.9,4.9,4,3.5,365
Karvy Consultants Ltd,3.4,2.4,3.4,4.5,28
Kaytek Computer Services Pvt. Ltd.,3.5,4,2.5,1.8,89
KCC Software Ltd,3.1,3.1,2.2,4.2,251
Keane India Ltd,4.2,3,3.8,5,852
Kejriwal Computers Limited,5,4.4,4.3,3.1,313
Kernex Micro Systems (India) Ltd.,3.2,4.4,3.8,3.6,58
Kirloskar Computer Services Ltd.,5,2.6,4.5,2.2,484
KLG Systel Ltd.,3.5,3,4.2,4.3,118
KMG Infotech Pvt Ltd,4.6,4.3,4.6,5,5571
KPIT Infosystems Limited.,5,2.2,3.4,4,585
KPIT Technologies,3.2,3.5,4.1,3.4,350
KPMG India,3.4,3.7,4.2,3.8,29
Krupp Industries India Ltd.,2.9,4.6,3.1,5,313
Kurade I - Net Pvt.Ltd,4.9,2.7,3.4,4.6,170
Labh Software Pvt Ltd,3.4,3.1,2.6,3.7,358
Lambent Technologies Pvt Ltd,3.7,3,3,3.5,73
Lanco Global Systems Limited,2.8,3.1,3.3,5,306
Landmark Infotech Systems & Solutions Pvt Ltd,2.2,2.5,4,4.8,594
Larsen & Toubro Infotech Limited,3.1,2.7,3.1,4.2,109
Laser Soft Infosystems Ltd,4.8,4.1,3.8,3.6,105
Lateral Software Technology Pvt Ltd,4.5,3.9,4.8,4,123
Lawkim Ltd (ITES Division),2.5,4,3.3,3.8,348
Lee & Nee Softwares (Exports) Ltd.,4.4,4.5,3.4,5,129
Lenovo,3.4,4,4.1,3.9,772
Leo Infotech (P) Ltd.,3.5,4.1,3.4,3.3,396
LG,4.2,4.3,3.8,4.6,610
LG Soft India Pvt. Ltd.,3.7,3.4,3.6,3.5,597
Linc Software Services Pvt. Ltd.,4.1,3,2.8,3.6,5775
Lipi Infosoft Limited,4.7,3.8,3,3.1,321
Live Tech Solutions (P) Ltd,3.3,4.6,4.7,3.6,405
Logica Pvt Ltd,3.8,3.1,3.1,4.8,318
Logicsoft International Pvt Ltd.,4.1,5,3.4,4.9,333
Login Infotech Private,4.1,3.3,4.3,4.5,411
LTIMindtree,3.3,4.2,3.6,2.9,473
Lucent Technologies India (P) Ltd.,3.7,2.6,5,4.2,151
Lucid Technologies Pvt. Ltd,5,4,4.9,3.7,252
"MA Softech International Ltd, Bhopal",2.6,2.7,4.8,3.7,218
Macil Infosystems (Pvt) Ltd,4.4,2.7,4.9,3.3,557
Madhu Intra Ltd,4,3.7,2.8,2.7,686
"Madhya Pradesh Agency for Promotion of Information Technology, Bhopal",3.2,3.4,4.6,3.9,372
"Madhya Pradesh State Electronics Development Corporation Ltd., Bhopal",4.3,3.5,3.5,4.1,372
Magic Software Pvt. Ltd.,4.1,4.9,3.2,4,661
Maharashtra Industrial Development Corporation,4,4,5,1.9,374
Maharashtra Institute of Advance Electronics & Comp Tech (P) Ltd.,3.7,3.4,5,5,103
Mahindra British Telecom Ltd.,4.1,4.1,2.9,1.8,125
Mahindra Consulting Ltd.,4,4.2,2.7,3.5,280
Majoris Systems Pvt. Ltd.,3.2,3.6,3.3,4.6,982
Manjushree Infotech (IT - Divi. Of Manjushree Plantation),4.1,4,4.1,3.2,523
Marble Infotech Ltd.,3.8,3,3.3,4.8,561
MASCON Global Limited,5,3.3,3.2,4.6,230
Mascot Systems Ltd.,5,3,4.6,3.7,911
"Masibus Process Instruments (P). Ltd., Gandhinagar",3.6,2.6,4.5,3.6,343
Mastek Limited,3.5,3.9,4.9,5,374
MASTEK Ltd.,3.5,2.8,3.6,5,421
Max Ateev Limited,3.6,4.7,3.5,4.6,178
McKinsey & Company Inc.,3.2,4.1,3.4,3.8,783
"MECON Limited, Ranchi",4.3,4.5,3.8,3.7,154
Medical e-Commerce Solutions Pvt Ltd,3.8,4.6,5,3.8,326
Medicom Solutions (P) Ltd,3.7,2.6,2.5,3.4,407
Meesho,3.4,3.2,4,5,172
Megasoft Limited,3.4,4.3,4.4,4.5,139
Melstar Information Technologies Ltd,3,5,4.9,4.5,281
Mentorix Learning Technologies Pvt. Ltd.,4.3,3.7,3.9,5,415
Meru Convergent Technologies Pvt Ltd,3.5,4,3.5,4,144
Meta,3.5,3,2.7,3.6,617
Micro Informations Pvt Ltd,4.3,2.7,4.7,3.8,57
Micro Technologies (India) Ltd,3.6,2.9,3.4,4,767
Microsoft,3.8,3,4.1,3.6,734
Microsoft Corporation (I) Ltd.,5,2.9,4,3.8,472
Microsoft India,3.4,4.4,3.4,4.5,802
Microsoft India (R&D) Pvt. Ltd.,4,4.2,4.1,4,591
Milcom Software,5,4.4,4.9,4.2,365
Millenium Information Systems Limited,3.8,3.6,3.6,3.7,473
Mindmill Software Ltd,3.1,3.6,3.3,3.7,415
Mindteck (India) Ltd,4.7,3.8,4.2,4.6,212
MindTree Consulting Pvt.,3.8,5,3.8,3.8,557
Mindtree Limited,4.1,5,3.2,5,290
Minerva Telelink Pvt.Ltd.,2.6,3.3,4.9,4.6,163
"Mizoram Information Technology Society, Aizawl",3.4,4.3,3.3,3.2,557
ML Infomap Pvt. Ltd.,3.9,4.4,5,2.5,970
Momentum India Private Limited,3.2,3.8,3.7,4.7,160
Motech Software Pvt Ltd,2.6,2.2,3.1,3.2,668
Motorola India Electronics Private Ltd.,4.8,2.3,3.8,3.3,687
Mphasis BFL Ltd.,3.7,1.7,3.5,3,337
Mphasis Limited,4.2,4.7,4.7,3.6,292
MTC (India) Pvt. Ltd.,3.5,4.6,3,3.5,193
Mukesh & Associates,3.1,3.5,2.9,5,386
Myntra,3.4,4.2,2.9,3.8,799
N Y Dox Services Ltd,4.1,4.6,3.7,3.1,365
National Institute of Fashion Technology,4.3,4.4,3.3,4.7,285
NatureSoft Private Limited,4.4,3.7,3.9,3.8,239
Navayuga Infotech Pvt. Ltd.,4.4,3.6,3.3,4.6,209
Navision Software India Pvt Ltd,3.8,2.2,4.4,3.9,440
Neco Infotech,3.6,3,3.6,4.3,432
NeilSoft Limited,4.3,2.7,4.2,4.6,304
Nelco Limited,4.3,2.9,3.9,3.8,132
Nelito Systems Limited,3.8,4.1,2.3,3.2,30
Neptune Information,3,4,4,4.4,757
Net Brahma Technologies Pvt Ltd,3.8,5,5,3.7,279
Net Edge Computing Solutions Pvt Ltd,3.8,3,3.4,3.1,797
Net Solutions,3.8,4.6,3.3,4.3,306
Net4India Ltd,4.2,3.9,4.4,3.1,201
Netaquila Solutions Pvt Ltd,3.7,4.2,2.8,4.6,615
NetBusiness Solutions (India) Ltd.,3,4,4.2,4.5,231
Netdecisions Pvt Ltd,2.8,4.7,3.8,3.3,58
Netflix,3.9,4.4,3.4,3.3,303
Netkraft Private Limited,4.5,3,2.9,3.4,320
NetraScribe Pvt. Ltd.,4,2.8,4.8,4,206
Network Associates Software Pte Ltd,4.5,4.2,3.6,3,500
"Network Programs (India) Ltd., Noida (UP)",4.4,2.7,4.9,4.5,292
"Network Systems & Technologies (P) Ltd., Trivandrum",4.3,3.2,5,3.4,160
Neural Consulting,3.6,3.6,3.8,4,591
Neural Corp,4.1,4.3,4.4,4.3,424
Neural Data,3.4,3.3,2.6,3.6,166
Neural Defense,4,3.4,3,4.4,376
Neural Dynamics,3.3,3.9,4.6,3.5,682
Neural Labs,4.1,4.1,3.7,4,846
Neural Networks,4.8,4.5,4.8,5,5457
Neural Security,3.8,3.7,4.7,4,374
Neural Solutions,2.7,2.8,2.1,2.3,649
Neural Tech,4.3,5,4,4.1,293
Neural Technologies,3.5,3.7,3.4,3.6,453
Newgen Imaging Systems (P) Ltd.,4.5,4.9,3.7,4.5,50
Newgen Software Technologies,4,2.6,3.4,5,543
Newgen Software Technologies Ltd.,4.9,5,4.8,3.4,251
NexGenix (India) Pvt Ltd,3.5,3.5,4.5,3.9,390
Next Cloud Limited,3.5,4.4,4.2,3.8,230
Next Com Ventures,4.5,3.1,5,4.2,348
Next Services Ventures,3.2,4.1,3.3,2.9,57
Next Sys Pvt Ltd,4.2,4.3,4,4.6,103
Next Web Analytics,3.4,2.3,2.8,2.8,220
Next Web Solutions,5,3.9,4.7,4.9,205
NextBrick Solutions Limited,4.7,3.1,4.2,2.4,278
NextGen Analytics,4,4.8,4.5,4.5,729
NextGen Consulting,3.9,4.3,4,4.8,386
NextGen Corp,4.7,4.8,3.9,4.6,588
NextGen Data,3.6,3.8,3.6,3.4,817
NextGen Defense,4.1,3.5,4.2,4.6,529
NextGen Dynamics,4.9,4.4,5,5,193
NextGen Innovations,3.4,4.1,3.1,4.2,783
NextGen Networks,3.2,3.9,2.4,3.6,635
NextGen Software,3.4,3.3,3.9,2.6,774
NextGen Solutions,5,5,5,5,175
NextGen Systems,3.1,2.3,3.4,3.1,964
NextStep Infotech Pvt Ltd,3.2,2.7,3.3,4.4,668
Nexus AI Networks,2.9,2.7,3.5,3.3,241
Nexus Analytics,3.2,2.2,2.9,3.6,746
Nexus App Enterprises,4.1,4.3,4.4,4.2,350
Nexus Consulting,4,3.5,4,4.1,358
Nexus Corp,2.8,3.3,2.3,3.5,319
Nexus Data,3.9,4,3.4,4.2,186
Nexus Data Enterprises,3.4,2.9,3,3.9,371
Nexus Defense,3.8,4.4,4.4,3.7,121
Nexus Dynamics,2.9,2.4,2.5,3.3,445
Nexus Group,4.3,5,3.6,4.1,31
Nexus Hub Limited,3.5,2.8,4.2,3.6,128
Nexus Info Innovations,2.2,3.3,1.8,2.6,29
Nexus Info Limited,4.4,4.5,5,4,544
Nexus Link Innovations,4.3,3.9,4.2,3.7,339
Nexus Net Networks,4,3.7,4.5,3.9,299
Nexus Net Systems,3.7,3.9,4.7,3.7,335
Nexus Security,3.4,3.2,3.3,3.6,278
Nexus Services Innovations,4.3,3.2,3.9,4.6,356
Nexus Services Limited,3.4,4.2,3,3.4,323
Nexus Software,2.8,2.7,2.8,2.5,758
Nexus Solutions,4.9,5,5,4.3,784
Nexus Solutions Ventures,3.3,3.8,3.8,2.9,33
Nexus Systems,3.7,3.8,4.1,4.4,654
Nexus Technologies,3.1,2.7,3.4,4.2,776
Nihilent Technologies Pvt Ltd,4.8,4.1,3.5,3.5,166
NIIT Ltd.,2.3,3.4,3.8,2.6,356
Nilgiri App Labs,4.5,4.2,5,5,470
Nilgiri Com Group,3.5,2.3,4.6,4.1,214
Nilgiri Labs Enterprises,4.3,3.6,4.6,4,165
Nilgiri Space Technologies,3.5,4.7,4.5,3.8,98
Nilgiri Web Pvt Ltd,3.4,3.6,2.9,2.7,177
Nilgiri Works Technologies,3.9,3,4.2,4.4,247
Nirman Consulting Solutions,4.2,4,4,4.5,188
Nirman Hub Innovations,4.3,4.3,5,4.4,163
Nirman Info Group,2.4,1.8,3,2.5,361
Nirman Services Enterprises,4.2,4.7,4.8,4.9,461
Nirman Space Enterprises,3.9,2.6,4.4,4.3,144
Nirman Tech Analytics,3.8,3.8,3.9,4.1,151
Nirman Tech Group,4,3.7,4.1,3.9,105
Nirman Tech Solutions,3.3,3.3,3.1,3.5,411
Nokia Telecommunications Pvt. Ltd.,3.8,3.6,4.8,4.1,875
Novell Software Development (I) Ltd.,4,3.6,3,3.5,216
Novellus Systems (India) Pvt Ltd,4.5,2.7,3.6,3.5,621
