Company_Name,Skill_1,Skill_2,Skill_3,Domain,Location,Minimum_CGPA,Duration,Recommended_Degree
Cyber Space Networks,"AWS, Computer Vision","Librosa, JavaScript","JavaScript, Python",Software Engineering,Lucknow,6.9,2 Months,BCA / MCA
Cyber Systems,"Incident Response, AWS","C++, SQL","NoSQL, JavaScript",Software Engineering,Noida,7.2,2 Months,B.Tech Computer Science
Cyber Technologies,"Digital Forensics, AWS","DevOps, Java","AWS, Java",Data Science & AI,Seattle,6.8,9 Months,B.Sc Statistics / Math
Cyber Web Ventures,"Kubernetes, Docker","SQL, Cybersecurity","Librosa, Java",Mobile App Development,Kochi,9.1,3 Months,BCA / MCA
Cybertech Systems and Software Ltd.,"NLP, Scikit-learn","AWS, SQL",NoSQL,Cloud Computing,Mumbai,6.5,12 Months,Mechanical Engineering
CybizCall (Inter national) Ltd,Web Development,"Pandas, NoSQL","NLP, Ethical Hacking",Web Development,Gurgaon,9.5,4 Months,B.E. Cloud Computing
Cygnus Software Pvt Ltd,"Scikit-learn, Pandas","Python, GCP","PyTorch, OpenCV",Web Development,Pune,8.2,4 Months,M.Sc Cyber Forensics
Cygsoft Limited,"JavaScript, Linux","PyTorch, Incident Response","Pandas, Machine Learning",Database Administration,Mumbai,9,2 Months,B.Sc Statistics / Math
Cyient Limited,"Librosa, Node.js","Pandas, Network Security",DevOps,Database Administration,Coimbatore,6.2,6 Months,B.E. Information Technology
D E Shaw India Software Pvt. Ltd.,"Scikit-learn, Cybersecurity","NLP, Azure","Bash, Mobile Forensics",Data Science & AI,Hyderabad,6.9,3 Months,B.E. Cloud Computing
Daksh eServices Pvt Ltd,"Librosa, React","GCP, Cybersecurity","Incident Response, JavaScript",Database Administration,Gurgaon,7.9,9 Months,B.Sc / M.Sc Data Science
Damco Advanced Technologies,"Data Analysis, Bash","C++, React","SQL, AWS",Software Engineering,New Delhi,6.5,2 Months,B.E. Cloud Computing
Daniel Measurement & Control (India) Pvt Ltd,"JavaScript, Computer Vision","PyTorch, Python","DevOps, Incident Response",Database Administration,Vadodara,9.4,4 Months,B.Tech CS / M.Tech
Danlaw Technologies India Ltd.,"Machine Learning, Python","TensorFlow, Linux","Machine Learning, Network Security",DevOps,Hyderabad,7,3 Months,B.E. Cloud Computing
Data Cloud Pvt Ltd,"Ethical Hacking, PyTorch","Node.js, Machine Learning","Kubernetes, Linux",Data Science & AI,Coimbatore,8.7,2 Months,B.Sc / M.Sc Data Science
Data Com Limited,"Linux, JavaScript","GCP, Kubernetes","Mobile Forensics, Java",Cybersecurity & Forensics,Remote,8.4,6 Months,B.Tech Cybersecurity
Data Com Networks,"Node.js, Kubernetes","Pandas, SQL","Docker, Cybersecurity",Software Engineering,Remote,6.7,12 Months,BCA / MCA
Data Corp,"AWS, PyTorch","GCP, Machine Learning","C++, AWS",Software Engineering,San Francisco,8.1,12 Months,B.Tech Computer Science
Data Cyber Limited,"Digital Forensics, Bash","Kubernetes, GCP","Computer Vision, Bash",Software Engineering,Bhubaneswar,8.9,3 Months,B.Tech Computer Science
Data Group,"Scikit-learn, Computer Vision","OpenCV, Mobile Forensics","Java, Data Analysis",Mobile App Development,Gurgaon,8.5,2 Months,BCA / MCA
Data Hub Enterprises,"NLP, TensorFlow","Machine Learning, Azure","NoSQL, Docker",Software Engineering,Gurgaon,6.5,12 Months,B.Tech Computer Science
Data Labs,"Kubernetes, Network Security","Azure, Java","Librosa, Linux",Web Development,San Francisco,8.9,2 Months,B.Tech Computer Science
Data Labs Analytics,"Linux, Cybersecurity","AWS, Data Analysis","NoSQL, PyTorch",Data Science & AI,Kolkata,6.5,2 Months,B.Sc Statistics / Math
Data Link Enterprises,"Data Analysis, Librosa","Digital Forensics, SQL","Scikit-learn, TensorFlow",Software Engineering,Kochi,8.5,4 Months,B.E. Information Technology
Data Net Limited,"Computer Vision, Incident Response","DevOps, Deep Learning","PowerBI, Docker",Software Engineering,Remote,6.7,2 Months,B.E. Information Technology
Data Networks,"Java, Scikit-learn","Deep Learning, Mobile Forensics","React, AWS",Cybersecurity & Forensics,Pune,9.5,9 Months,M.Sc Cyber Forensics
Data Security,"Java, NoSQL","Data Analysis, React","Kubernetes, Bash",Web Development,Noida,7.6,6 Months,B.E. Information Technology
Data Soft Analytics,"GCP, Ethical Hacking","Node.js, TensorFlow","Data Analysis, JavaScript",DevOps,Jaipur,7.9,3 Months,B.Tech CS / IT
Data Soft Solutions,"Java, Librosa","AWS, Ethical Hacking","Deep Learning, DevOps",DevOps,Remote,8.3,9 Months,Mechanical Engineering
Data Software Research Company International Ltd.,"Linux, PowerBI","Incident Response, Scikit-learn","PowerBI, Data Analysis",Database Administration,Chennai,7.4,12 Months,M.Sc Cyber Forensics
Data Tech,"Data Analysis, Network Security","Azure, Librosa",NLP,Database Administration,Gurgaon,6.1,12 Months,B.Tech CS / IT
Data Tech Enterprises,"Network Security, OpenCV","Deep Learning, React","Linux, Machine Learning",Mobile App Development,Remote,8.5,9 Months,BCA / MCA
Data Tech Systems,"Computer Vision, Incident Response","NoSQL, GCP","Ethical Hacking, TensorFlow",Cloud Computing,Chennai,6.9,4 Months,B.E. Cloud Computing
Datacons Pvt. Ltd.,Web Development,"Mobile Forensics, NoSQL","Java, OpenCV",Cloud Computing,Hyderabad,6.8,2 Months,B.Sc Statistics / Math
Data-Core (India) Ltd.,"Computer Vision, Java","Ethical Hacking, Machine Learning","NLP, Deep Learning",Cloud Computing,Bangalore,9,9 Months,Mechanical Engineering
Datacraft India Ltd.,"Scikit-learn, Cybersecurity","DevOps, Deep Learning",GCP,Mobile App Development,Mumbai,6.9,12 Months,B.Tech CS / IT
Datadog,"Pandas, Python","SQL, Incident Response",OpenCV,Database Administration,Chennai,7,12 Months,B.E. Cloud Computing
Datamatics Ltd.,"GCP, Cybersecurity","Python, Machine Learning","GCP, JavaScript",Database Administration,Mumbai,6.8,6 Months,BCA / MCA
Datamatics Technologies Pvt. Ltd.,"Incident Response, Node.js","Digital Forensics, C++","GCP, Bash",Database Administration,Mumbai,7.4,9 Months,M.Sc Cyber Forensics
Datapro Infoworld Ltd.,"Machine Learning, Azure","NoSQL, SQL","Cybersecurity, GCP",Software Engineering,Mumbai,9.2,2 Months,B.E. Information Technology
Dawn Consulting,"Librosa, Incident Response","Node.js, NLP","JavaScript, Python",Cybersecurity & Forensics,Bangalore,7.5,3 Months,Mechanical Engineering
DCM Datasystems Ltd.,"C++, JavaScript","NoSQL, Machine Learning","React, PyTorch",Cloud Computing,New Delhi,7.2,3 Months,BCA / MCA
DCM Technologies Limited,Web Development,"Deep Learning, PowerBI",Python,Database Administration,Gurgaon,7.6,6 Months,B.Tech CS / IT
DDE ORG Systems Ltd.,"PyTorch, GCP","Scikit-learn, Bash","Bash, Deep Learning",Data Science & AI,Bangalore,6.3,12 Months,B.Tech Cybersecurity
Deccan Infotech (P) Limited,"AWS, Digital Forensics","Computer Vision, Java","SQL, Data Analysis",Data Science & AI,Bangalore,7.1,6 Months,BCA / MCA
Deccanet Designs Limited,"Node.js, Scikit-learn","Bash, Digital Forensics","JavaScript, Bash",Mobile App Development,Bangalore,8.7,2 Months,B.Tech Computer Science
Decision Technologies (India ) Pvt Ltd,Web Development,"Node.js, Azure","Machine Learning, OpenCV",Software Engineering,Mumbai,8.7,6 Months,BCA / MCA
Dell,"Docker, Java","Java, AWS",Pandas,DevOps,Mumbai,9,4 Months,B.E. Cloud Computing
Dell Technologies India,"Bash, DevOps","Digital Forensics, Python","Computer Vision, NLP",Cloud Computing,San Francisco,6.5,9 Months,B.Tech CS / IT
Deloitte India,"Network Security, Linux","JavaScript, Network Security","GCP, JavaScript",Database Administration,Mumbai,9,4 Months,M.Sc Cyber Forensics
Delsoft India Pvt. Ltd.,"Scikit-learn, NoSQL","Machine Learning, TensorFlow","Incident Response, Scikit-learn",Web Development,Noida,8.5,2 Months,B.Tech CS / IT
Delsys Infotech Pvt. Ltd.,"Scikit-learn, Cybersecurity","SQL, Pandas","Azure, NoSQL",Cybersecurity & Forensics,Mumbai,6.1,3 Months,BCA / MCA
Desi Com Limited,"DevOps, SQL","Librosa, PowerBI","Deep Learning, PyTorch",Software Engineering,Remote,9.2,4 Months,B.Tech Computer Science
Desi Consulting Innovations,"Docker, Digital Forensics","Network Security, Machine Learning","DevOps, Incident Response",DevOps,Chandigarh,8.7,6 Months,B.Tech CS / IT
Desi Hub Ventures,"Ethical Hacking, Docker","Incident Response, Cybersecurity","DevOps, Deep Learning",Mobile App Development,Remote,6.4,3 Months,B.E. Information Technology
Desi Info Solutions,"Bash, Computer Vision","TensorFlow, Computer Vision","NoSQL, React",Web Development,Remote,8.9,3 Months,B.E. Information Technology
Desi Link Labs,"AWS, React","Kubernetes, Scikit-learn","Cybersecurity, Java",Web Development,Chennai,6.2,3 Months,B.Tech Computer Science
Desi Link Ventures,"Pandas, GCP","Network Security, Librosa","NLP, Incident Response",Database Administration,Remote,6.9,2 Months,B.E. Cloud Computing
Desi Solutions Systems,"React, Pandas","Librosa, Machine Learning","Machine Learning, Data Analysis",Database Administration,Remote,7.5,9 Months,Mechanical Engineering
Desi Space Innovations,"Docker, AWS","NLP, Mobile Forensics","Cybersecurity, Azure",Data Science & AI,Remote,7.4,9 Months,B.Sc / M.Sc Data Science
Desi Tech Labs,"TensorFlow, Docker","AWS, SQL","Mobile Forensics, Kubernetes",Data Science & AI,Remote,9.5,6 Months,B.Sc / M.Sc Data Science
Desi Tech Networks,"NLP, Python","Computer Vision, Bash","Digital Forensics, React",DevOps,Remote,8.7,9 Months,B.E. Cloud Computing
Desi Web Solutions,"React, Azure","Librosa, PowerBI","DevOps, Machine Learning",DevOps,Noida,6.3,2 Months,Mechanical Engineering
DESS Technologies,"GCP, Python","C++, Linux","Deep Learning, PowerBI",Cybersecurity & Forensics,Mumbai,7.2,2 Months,B.Tech CS / IT
Dexterity Business Analysts Private Limited.,"Network Security, OpenCV","SQL, TensorFlow","OpenCV, Linux",Web Development,Chennai,8.9,9 Months,B.Tech CS / IT
Dharma AI Systems,"Node.js, Incident Response","DevOps, Librosa","OpenCV, SQL",Web Development,Kochi,7.4,2 Months,BCA / MCA
Dharma App Ventures,"PowerBI, SQL","C++, Mobile Forensics","Deep Learning, NLP",Cloud Computing,Remote,6.9,4 Months,Mechanical Engineering
Dharma Com Ventures,"Network Security, Mobile Forensics","Scikit-learn, Network Security","Data Analysis, Incident Response",Cloud Computing,Remote,6,2 Months,B.E. Cloud Computing
Dharma Consulting Limited,"JavaScript, Incident Response","Network Security, Azure","Bash, Linux",Web Development,Remote,7.3,2 Months,B.Tech Computer Science
Dharma Cyber Group,"TensorFlow, Incident Response","Digital Forensics, Librosa","Deep Learning, Ethical Hacking",Mobile App Development,Chennai,8.9,3 Months,B.E. Information Technology
Dharma Cyber Technologies,"Docker, GCP","Kubernetes, DevOps","JavaScript, Cybersecurity",Database Administration,Remote,7.3,3 Months,B.Tech CS / IT
Dharma Data Enterprises,"Azure, Cybersecurity","GCP, Azure","Scikit-learn, C++",Cybersecurity & Forensics,Gurgaon,7.7,9 Months,BCA / MCA
Dharma Hub Networks,"NLP, Network Security","SQL, Docker","Bash, Mobile Forensics",Cloud Computing,Remote,8.2,12 Months,B.E. Cloud Computing
Dharma Info Systems,"Data Analysis, PyTorch","Kubernetes, Cybersecurity","NoSQL, React",Database Administration,Kochi,6.1,6 Months,B.E. Cloud Computing
Dharma Info Technologies,"TensorFlow, Python","OpenCV, Computer Vision","Kubernetes, Python",Web Development,Pune,7.4,6 Months,BCA / MCA
Dharma Sec Analytics,"Machine Learning, GCP","C++, Machine Learning","PyTorch, AWS",Cloud Computing,Remote,6.9,9 Months,Mechanical Engineering
Dharma Soft Pvt Ltd,"Ethical Hacking, Azure","Computer Vision, PowerBI","Scikit-learn, Computer Vision",Software Engineering,Thiruvananthapuram,7.8,9 Months,B.E. Information Technology
Dharma Sys Group,"React, Python","DevOps, OpenCV","Bash, C++",Cloud Computing,Remote,6.4,4 Months,B.E. Cloud Computing
Dharma Sys Innovations,"SQL, Python","Mobile Forensics, Docker","Java, OpenCV",Web Development,Indore,7.9,9 Months,B.E. Information Technology
Dharma Systems Pvt. Ltd.,"DevOps, AWS","SQL, Azure","Azure, SQL",Mobile App Development,Bangalore,8.8,12 Months,B.E. Information Technology
Differential Technologies Limited,"DevOps, GCP","Kubernetes, Network Security","PowerBI, Cybersecurity",Cloud Computing,New Delhi,7.8,6 Months,B.E. Cloud Computing
Digital GlobalSoft Ltd.,"AWS, Network Security","Linux, JavaScript","OpenCV, Deep Learning",Cloud Computing,Bangalore,8.5,4 Months,B.Sc Statistics / Math
"Digitec Engineers & Computech Pvt Ltd, Indore, MP","Network Security, TensorFlow","GCP, SQL",Librosa,DevOps,Delhi,9.3,3 Months,M.Sc Cyber Forensics
"Directorate of Technical Education, Punjab","Ethical Hacking, Azure","Network Security, DevOps","Python, SQL",DevOps,Chandigarh,6.5,2 Months,B.Tech CS / IT
"Disha Online (P) Ltd, Raipur (MP)","Linux, React","Digital Forensics, SQL","Docker, NoSQL",Cybersecurity & Forensics,Indore,8.2,2 Months,B.E. Information Technology
Divas Offshore Software Technologies (P) Ltd,"Computer Vision, SQL","AWS, GCP","Bash, Scikit-learn",Database Administration,New Delhi,8.6,2 Months,BCA / MCA
divine India Limited,"Scikit-learn, Cybersecurity","PowerBI, TensorFlow","Ethical Hacking, TensorFlow",Data Science & AI,Hyderabad,8.3,4 Months,B.E. Cloud Computing
Dogma Soft Public Limited,"Digital Forensics, Network Security","Data Analysis, DevOps","Data Analysis, Deep Learning",Cybersecurity & Forensics,Jaipur,7.6,2 Months,B.Tech CS / M.Tech
DPS Technologies India Pvt Ltd,"Pandas, Deep Learning","Pandas, OpenCV","Network Security, Mobile Forensics",Database Administration,Kolkata,8.6,4 Months,B.E. Cloud Computing
DRS Infosystems Ltd,"Deep Learning, Data Analysis","GCP, Deep Learning","Ethical Hacking, Cybersecurity",Web Development,Tamil Nadu,8.3,9 Months,B.Tech CS / IT
Druva,"Network Security, TensorFlow","Python, Data Analysis","TensorFlow, Machine Learning",Web Development,Delhi,6.1,2 Months,B.Tech CS / M.Tech
DSL Software Ltd.,"React, Deep Learning","Java, Docker","OpenCV, SQL",Database Administration,Bangalore,6.1,2 Months,BCA / MCA
DSQ Software Limited,"Digital Forensics, Ethical Hacking","Java, Python","Computer Vision, Azure",Database Administration,Chennai,6.6,3 Months,Mechanical Engineering
DSS Infotech Pvt. Ltd.,"C++, Docker","C++, Deep Learning","Bash, Azure",Data Science & AI,Pune,9.1,9 Months,B.Tech CS / IT
Duncan Infotech,"Librosa, Ethical Hacking","Scikit-learn, Machine Learning","Java, Kubernetes",DevOps,Hyderabad,9.1,3 Months,B.Tech CS / IT
Dusk Valley Technologies Ltd,"Pandas, OpenCV","Cybersecurity, NLP","AWS, PyTorch",Mobile App Development,Gurgaon,8.1,12 Months,B.Sc Information Security
E B C Publishing Pvt. Ltd.,"Scikit-learn, Computer Vision","Scikit-learn, Python",Librosa,DevOps,Lucknow,7.6,6 Months,B.Tech Cybersecurity
e Three R Info Systems Pvt Ltd,"Cybersecurity, C++","Machine Learning, Incident Response","Node.js, OpenCV",Database Administration,New Delhi,8,9 Months,B.E. Cloud Computing
Eastern Software Systems Ltd.,"TensorFlow, GCP","Machine Learning, DevOps","OpenCV, Deep Learning",Web Development,New Delhi,8.7,6 Months,B.Tech Cybersecurity
e-biz Concepts (India) ltd,"DevOps, OpenCV","Pandas, Computer Vision","Network Security, Kubernetes",Software Engineering,Ahmedabad,8.7,4 Months,BCA / MCA
E-Brahma Technologies (P) Ltd.,"Docker, Computer Vision","Scikit-learn, Mobile Forensics","SQL, Deep Learning",Software Engineering,Coimbatore,7.2,12 Months,Mechanical Engineering
Eclipse Systems Pvt. Ltd.,Web Development,"Incident Response, Scikit-learn","DevOps, Python",Database Administration,Noida,7.6,2 Months,BCA / MCA
Ecom Server India (P) Ltd,"Deep Learning, Linux","PowerBI, Incident Response","Kubernetes, Linux",Mobile App Development,Hyderabad,6.4,3 Months,B.Sc Statistics / Math
Ecomenable Pvt Ltd,"Java, NLP","OpenCV, Mobile Forensics","OpenCV, Scikit-learn",Software Engineering,Baroda,6.4,3 Months,B.Tech Cybersecurity
EDS - Electronic Data Systems (India) Private Limited,"SQL, Kubernetes","Cybersecurity, Node.js","Digital Forensics, Incident Response",Data Science & AI,Gurgaon,7.3,3 Months,BCA / MCA
Edutech Information India,"Computer Vision, Network Security","Docker, Linux","DevOps, C++",Data Science & AI,Gurgaon,6,2 Months,B.Tech CS / M.Tech
e-enable Technologies Pvt Ltd,"Docker, GCP","Computer Vision, PyTorch","OpenCV, DevOps",Data Science & AI,New Delhi,8.3,4 Months,B.Tech CS / IT
eFunds International Private Limited,"JavaScript, Linux","GCP, Kubernetes","Network Security, Librosa",Web Development,Mumbai,8.9,12 Months,B.E. Information Technology
e-Infochips Pvt. Ltd.,"Deep Learning, React","SQL, Network Security","Bash, NLP",Cloud Computing,Ahmedabad,6.3,4 Months,B.Tech CS / IT
EKnowVenture Technologies Pvt Ltd,"Librosa, Bash","Bash, Kubernetes","Pandas, NLP",Web Development,Bangalore,7.4,6 Months,BCA / MCA
Electronics Corporation of Tamil Nadu Limited,"Machine Learning, GCP","Azure, Java","Cybersecurity, Java",DevOps,Chennai,6.9,3 Months,B.Tech CS / IT
Elgi Software Ltd.,"PowerBI, Linux","Network Security, Mobile Forensics","Deep Learning, PyTorch",DevOps,Coimbatore,9,2 Months,B.Tech Cybersecurity
Elind Computers Ltd,"DevOps, NoSQL","Bash, Machine Learning","Data Analysis, Digital Forensics",Cloud Computing,Bangalore,7.7,6 Months,B.Tech CS / IT
Emcure Infotech Ltd,"AWS, Librosa","Docker, OpenCV","Machine Learning, Cybersecurity",Software Engineering,Pune,7.2,2 Months,BCA / MCA
Emerson Network Power (India) Pvt Ltd,"C++, JavaScript","Pandas, Network Security","SQL, Java",Cloud Computing,Mumbai,6.7,3 Months,B.Sc Information Security
eMR Technology Ventures Pvt. Ltd.,"Python, SQL","Computer Vision, Mobile Forensics","Deep Learning, NLP",Database Administration,Gurgaon,8.7,6 Months,B.Tech CS / M.Tech
Encodex Technologies (India) Pvt. Ltd.,Web Development,"Java, Pandas","Bash, Mobile Forensics",Data Science & AI,Pune,8.8,9 Months,B.E. Information Technology
Enlink Infotech Pvt Ltd,"SQL, PyTorch","TensorFlow, Docker","Node.js, JavaScript",Cybersecurity & Forensics,Mumbai,7,4 Months,Mechanical Engineering
Entcomm (Asia) Pvt. Ltd.,"Linux, Java","Incident Response, C++","GCP, NoSQL",Cloud Computing,Chennai,7.4,9 Months,B.E. Information Technology
Eonour Software Ltd.,"Scikit-learn, Cybersecurity","GCP, Deep Learning","NLP, Docker",Data Science & AI,Chennai,6.9,2 Months,Mechanical Engineering
Epicenter Technologies Pvt Ltd,"Linux, Node.js","SQL, TensorFlow","Ethical Hacking, Data Analysis",Database Administration,Chennai,8.8,3 Months,B.Tech CS / M.Tech
Escosoft Technologies Ltd.,Web Development,"NLP, PowerBI","Bash, Azure",Data Science & AI,New Delhi,8.1,4 Months,B.E. Information Technology
ESN Technologies (I) Pvt Ltd,"Docker, Ethical Hacking","PyTorch, Bash","OpenCV, SQL",Software Engineering,Hyderabad,9,4 Months,Mechanical Engineering
eSoft Consulting Ltd,"Deep Learning, React","Digital Forensics, Pandas",Scikit-learn,Cloud Computing,Hyderabad,7.9,2 Months,B.E. Information Technology
Esols Worldwide Ltd.,"NoSQL, Computer Vision","GCP, Node.js","PowerBI, PyTorch",Software Engineering,Mumbai,8,2 Months,BCA / MCA
eSpace Technologies Pvt.Ltd.,"NLP, Azure","Node.js, C++","AWS, Ethical Hacking",Data Science & AI,Chennai,8.5,3 Months,BCA / MCA
ESPL Systems Private Limited,"SQL, PowerBI","Network Security, Librosa","Mobile Forensics, Scikit-learn",Mobile App Development,New Delhi,7.1,9 Months,B.Tech CS / IT
"Essar Information Technology Ltd., Surat (DT)","SQL, JavaScript","Digital Forensics, NLP","PowerBI, Incident Response",Software Engineering,Chennai,8.2,12 Months,B.E. Cloud Computing
Essel Software & Services Ltd.,"Deep Learning, NLP","Kubernetes, Ethical Hacking",Bash,Cloud Computing,Hyderabad,8.8,4 Months,B.Tech Cybersecurity
Esskay Solutions Ltd,"PyTorch, Librosa","Linux, Machine Learning","JavaScript, NLP",Data Science & AI,Hyderabad,6.5,6 Months,Mechanical Engineering
Etisbew.com Pvt Ltd,"TensorFlow, GCP","OpenCV, Data Analysis",Kubernetes,Software Engineering,Hyderabad,7.9,3 Months,B.Tech Computer Science
Euclid India Limited,"Docker, Java","Digital Forensics, Node.js","AWS, NLP",Database Administration,Hyderabad,8,4 Months,B.Tech CS / IT
Euro Info Systems Pvt. Ltd.,"Scikit-learn, Cybersecurity","TensorFlow, Computer Vision","C++, AWS",Web Development,Noida,7.5,6 Months,B.Sc / M.Sc Data Science
Eutech Cybernetics (India) Pvt Ltd,"AWS, Librosa","React, Deep Learning","Kubernetes, JavaScript",Web Development,Chennai,6.9,4 Months,B.Tech Computer Science
Excel Infotech Ltd,"OpenCV, Scikit-learn","Librosa, PowerBI","SQL, NLP",Cloud Computing,Gurgaon,7.6,12 Months,B.Tech CS / IT
Exel NetCommerce Ltd,"Linux, PowerBI","Digital Forensics, JavaScript","AWS, Scikit-learn",Software Engineering,Mumbai,6.4,12 Months,B.Tech Computer Science
Eximsoft Technologies Pvt. Ltd.,"Data Analysis, PyTorch","AWS, Computer Vision","React, Deep Learning",Mobile App Development,Bangalore,7.7,12 Months,B.Sc / M.Sc Data Science
ExlService.Com (I) Pvt. Ltd.,Web Development,"Docker, Azure","Docker, Librosa",Web Development,Noida,8.6,6 Months,B.E. Information Technology
EXplora InfoTech Limited,"Node.js, GCP","Pandas, PowerBI","Cybersecurity, Docker",Software Engineering,Ahmedabad,7.6,4 Months,B.Tech CS / M.Tech
EY India,"NLP, Data Analysis","Data Analysis, Node.js","NoSQL, Java",DevOps,San Francisco,8.7,3 Months,Mechanical Engineering
EZCommerce (India) Limited,Web Development,"Node.js, Machine Learning","Deep Learning, NoSQL",Database Administration,Secunderabad,6.4,2 Months,Mechanical Engineering
FCS Software Solutions Ltd,"OpenCV, Mobile Forensics","Bash, NLP","Librosa, Mobile Forensics",Cloud Computing,Noida,7.5,3 Months,B.E. Information Technology
Fil - Flan Systems,"SQL, Bash","PyTorch, Bash","Docker, GCP",Software Engineering,Mumbai,6.8,2 Months,B.E. Cloud Computing
Financial Technologies (India) Ltd.,"Scikit-learn, Cybersecurity","Azure, Python","OpenCV, Azure",Cybersecurity & Forensics,Mumbai,7.7,9 Months,B.E. Information Technology
FireEye,"Kubernetes, Python","PowerBI, Data Analysis",Data Analysisr,Web Development,Remote,6.5,12 Months,B.Tech Computer Science
First Ring I Pvt. Ltd.,"PyTorch, SQL","TensorFlow, Linux","Python, Digital Forensics",Software Engineering,Bangalore,7.8,4 Months,B.Sc Statistics / Math
Firstware Software Solutions,"Docker, Deep Learning","Librosa, Node.js","OpenCV, Ethical Hacking",Cloud Computing,Chennai,7.3,9 Months,BCA / MCA
Flipkart,"Computer Vision, Java","GCP, Cybersecurity","DevOps, Kubernetes",Data Science & AI,Mumbai,7.4,12 Months,B.Tech CS / M.Tech
Ford Business Service,"Scikit-learn, TensorFlow","Data Analysis, Linux","Machine Learning, Linux",Web Development,Chennai,6.5,4 Months,B.E. Information Technology
Forensic Analytics,"Kubernetes, Pandas","Docker, Bash","NLP, Deep Learning",Web Development,Pune,9.1,4 Months,B.E. Information Technology
Forensic Consulting,"Azure, Python","Digital Forensics, Ethical Hacking","C++, PyTorch",Data Science & AI,San Francisco,6.5,9 Months,B.Sc Statistics / Math
Forensic Data,"Kubernetes, PowerBI","TensorFlow, Docker","React, C++",DevOps,Singapore,8.2,9 Months,Mechanical Engineering
Forensic Defense,"Docker, OpenCV","Ethical Hacking, Scikit-learn","Pandas, AWS",Data Science & AI,Singapore,8.1,4 Months,B.Sc Statistics / Math
Forensic Dynamics,"TensorFlow, NoSQL","DevOps, AWS",Ethical Hacking,DevOps,Seattle,8.6,3 Months,B.Tech CS / IT
Forensic Group,"PowerBI, Ethical Hacking","Scikit-learn, Computer Vision","Linux, Azure",Software Engineering,Remote,6.8,6 Months,B.E. Information Technology
Forensic Inc,"DevOps, GCP","SQL, NLP",Scikit-learn,Software Engineering,Pune,7.2,2 Months,B.E. Information Technology
Forensic Labs,"OpenCV, Scikit-learn","Librosa, Scikit-learn","Data Analysis, NoSQL",Database Administration,Singapore,6.6,2 Months,B.Tech CS / IT
Forensic Networks,"Librosa, Data Analysis","C++, Bash","Network Security, Scikit-learn",Mobile App Development,Seattle,6.2,2 Months,B.E. Information Technology
Forensic Security,"Librosa, NLP","C++, Linux","Deep Learning, Kubernetes",Cloud Computing,Pune,6.9,6 Months,B.Tech CS / IT
Forensic Technologies,"Ethical Hacking, Java","DevOps, OpenCV","Incident Response, C++",DevOps,Remote,7.1,12 Months,B.E. Cloud Computing
Fortinet,"NoSQL, C++","JavaScript, Network Security",DevOps,Software Engineering,Hyderabad,8.6,6 Months,B.E. Information Technology
Freemarkets Services (P) Ltd,"GCP, Ethical Hacking","AWS, Data Analysis",Librosa,Software Engineering,Gurgaon,6.8,9 Months,B.Tech Cybersecurity
Freshworks Technologies,"Linux, Data Analysis","AWS, Ethical Hacking","Deep Learning, TensorFlow",Software Engineering,Jaipur,8.3,4 Months,M.Sc Cyber Forensics
Friendly Advanced Software Technology (P) Ltd.,"Docker, Java","Data Analysis, Librosa","Network Security, Scikit-learn",Web Development,Bangalore,8.2,2 Months,B.Sc Statistics / Math
Frontlinesoft Ltd.,"AWS, Mobile Forensics","Ethical Hacking, Network Security","Digital Forensics, GCP",Web Development,Hyderabad,7.5,4 Months,B.Tech Computer Science
Future AI Networks,"React, SQL","Docker, Azure","Librosa, Scikit-learn",Mobile App Development,Delhi,6.5,9 Months,BCA / MCA
Future Analytics,"PyTorch, Network Security","Kubernetes, Computer Vision","Machine Learning, NLP",Software Engineering,Remote,9,2 Months,B.Tech Computer Science
Future Cloud Group,"Pandas, Python","SQL, Python","Docker, NLP",Cloud Computing,Pune,8.7,12 Months,B.Tech CS / IT
Future Com Networks,"NLP, Incident Response","SQL, Linux","Azure, TensorFlow",Database Administration,Pune,7.1,6 Months,B.Tech CS / IT
Future Cyber Group,"JavaScript, TensorFlow","AWS, TensorFlow","React, Incident Response",Mobile App Development,Coimbatore,9.4,2 Months,BCA / MCA
Future Cyber Innovations,"C++, NoSQL","Kubernetes, Network Security","Ethical Hacking, Pandas",Cloud Computing,Lucknow,7.6,4 Months,B.Tech CS / IT
Future Data,"Bash, DevOps","TensorFlow, Docker","Network Security, Mobile Forensics",Software Engineering,Seattle,7.3,6 Months,BCA / MCA
Future Data Innovations,"GCP, SQL","Mobile Forensics, NLP","Incident Response, Scikit-learn",Mobile App Development,Remote,7.5,12 Months,BCA / MCA
Future Dynamics,"Ethical Hacking, DevOps","Data Analysis, Bash","SQL, GCP",Software Engineering,Kolkata,7.3,6 Months,BCA / MCA
Future Focus Infotech Pvt. Ltd,"JavaScript, NoSQL","Node.js, Pandas","Kubernetes, Digital Forensics",Database Administration,Bangalore,6.2,2 Months,B.E. Cloud Computing
Future Group,"AWS, Librosa","Node.js, C++","Digital Forensics, Java",Cloud Computing,Noida,6.5,6 Months,B.Tech CS / IT
Future Inc,"Deep Learning, Bash","NoSQL, Machine Learning","Bash, Pandas",Data Science & AI,Mumbai,8.9,4 Months,B.Sc / M.Sc Data Science
Future Innovations,"Docker, Data Analysis","Node.js, Python","Deep Learning, Scikit-learn",DevOps,Singapore,9.2,2 Months,B.Tech CS / IT
